"קובץ","אינדקס","מקור","תרגום","הערות"
"1.0","string_0","Would you like to skip
 the introduction or
 watch the whole thing?","אתה רוצה לדלג\nעל ההקדמה או\nלצפות בהכל?",""
"1.0","string_1","Skip it","דלג",""
"1.0","string_2","Watch it","צפה",""
"1.0","string_3","Restore a Game","שחזר משחק",""
"1.0","string_5"," 1991 Sierra On-Line, Inc.","\03 1991 סיירה און-ליין, בע""מ",""
"10.0","string_0","You're at the east end of one of the development labs. Another elevator is available here.","אתה בקצה המזרחי של אחת ממעבדות הפיתוח. מעלית נוספת זמינה כאן.",""
"10.0","string_5","elevator","מעלית",""
"10.0","string_6","This is yet another in a long line of elevators in this game.. er.. ship.","זאת עוד אחת מתוך שורה ארוכה של מעליות במשחק... אה... ספינה הזאת.",""
"10.0","string_8","light","אור",""
"10.0","string_9","This light indicates that the elevator goes down and, when lit, its presence at this floor.","האור הזה מעיד שהמעלית יורדת, וכשהוא דולק, את הנוכחות שלה בקומה הזאת.",""
"10.0","string_11","bay door","דלת מעגן",""
"10.0","string_12","open exposing the vast reaches of space","פתוחה וחושפת את מרחביו האדירים של החלל",""
"10.0","string_13","closed","סגורה",""
"10.0","string_15","button pad","לוח כפתורים",""
"10.0","string_16","This is the button pad for the bay doors below. The controls are located up here to minimize the chance of someone doing something stupid, such as pressing 'OPEN' while in the pod bay when wearing no pressure suit. YOU should be glad.","זהו לוח הכפתורים לדלתות המעגנים למטה. הפקדים ממוקמים פה למעלה כדי למזער את הסיכוי שמישהו יעשה משהו טיפשי, כמו ללחוץ על 'פתוח' בעודו במעגן החללית כשאינו לובש חליפת לחץ. *אתה* צריך לשמוח.",""
"10.0","string_18","button","כפתור",""
"10.0","string_19","The button is depressed. Aren't we all?","הכפתור לא לחוץ. הלוואי על כולנו.","בהנחה שהכוונה של depressed הוא שלילה של pressed ולכן לא לחוץ"
"10.0","string_22","You always meant to ask one of the technicians what this thing is. However, you procrastinated a bit too long in this case. It's either an ocean-in-a-bottle or a model of your stomach as the deadline draws near.","תמיד התכוונת לשאול את אחד הטכנאים מה הדבר הזה. אבל, דחית את זה קצת יותר מדי במקרה הזה. או שזה אוקיינוס-בתוך-בקבוק או דגם של הקיבה שלך בעוד מועד הפקיעה מתקרב.",""
"10.0","string_24","This is a keycard slot. Your bottom-of-the-foodchain-type clearance has always prevented you from attaining a keycard for this area, thus precluding your access to it without an escort. Good luck finding one now!","זה חריץ לתג. הרשאות מסוג-תחתית-שרשרת-המזון כמו שלך תמיד מנעו ממך להשיג תג בשביל האזור הזה, ובכך הגבילו את הגישה שלך אליו ללא ליווי. בהצלחה למצוא כזה עכשיו!",""
"10.0","string_26","This button opens the bay doors below.","הכפתור הזה פותח את דלתות המעגנים מתחת.",""
"10.0","string_28","This button closes the bay doors below.","הכפתור הזה סוגר את דלתות המעגנים מתחת.",""
"10.0","string_30","This is a remote monitoring panel for some of the ship's systems. Attempts to understand their purpose always made your brain hurt, but you do know that glowing red isn't good. Especially since some of the stuff is connected to the reactor cooling system.","זה לוח ניטור מרחוק עבור חלק ממערכות הספינה. נסיונות להבין את המטרה שלהן תמיד גרמו לך לכאב מח, אבל אתה יודע שאדום זוהר זה סימן רע. במיוחד כי חלק מהדברים מחוברים למערכת קירור הכור.",""
"10.0","string_32","These buttons are locked in position. It's probably just as well. You might live longer due to having no clue as to their purpose.","הכפתורים נעולים במצבם. כנראה עדיף כך. אולי תחיה יותר זמן בזכות זה שאין לך מושג מה הם עושים.",""
"10.0","string_34","handle","ידית",""
"10.0","string_35","This looks like something out of a Boris Karloid movie.","זה נראה כמו משהו מסרט של בוריס קרלויד.",""
"10.0","string_38","This is the steel stand for the odd globe.","זה מעמד הפלדה לגלובוס המשונה.",""
"10.0","string_40","More pipes run around the upper perimeter of this area.","עוד צינורות נמצאים סביב החלק העליון של האזור הזה.",""
"103.0","string_5","","",""
"103.0","string_6_offset_1","BHCA","",""
"103.0","string_7","BCHE","",""
"103.0","string_8","BHBH","",""
"103.0","string_9","FCFD","",""
"103.0","string_10","HDCH","",""
"103.0","string_11","GECB","",""
"103.0","string_12","EEJF","",""
"103.0","string_13","CAED","",""
"103.0","string_14","BACI","",""
"103.0","string_15","EFGI","",""
"103.0","string_16","IBED","",""
"103.0","string_17","GFDJ","",""
"103.0","string_18","JAAI","",""
"103.0","string_19","DDHF","",""
"103.0","string_20","IJBD","",""
"103.0","string_21","ICCH","",""
"103.0","string_22","DGFJ","",""
"103.0","string_23","FCJG","",""
"103.0","string_24","FIFI","",""
"103.0","string_25","AJJG","",""
"103.0","string_31","This is your head. (Didn't you learn this stuff a real long time ago?)","זה הראש שלך. (לא למדת על הדברים האלה לפני הרבה זמן?)",""
"103.0","string_33","This is your arm.","זאת הזרוע שלך.",""
"103.0","string_36","This button allows you to exit this screen.","הכפתור הזה מאפשר לך לצאת מהמסך הזה.",""
"103.0","string_37","droid arm","זרוע של רובוט",""
"103.0","string_38","You see a data cartridge clasped in the droid's manipulator.","אתה רואה קלטת מידע אחוזה בזרוע הרובוט.",""
"103.0","string_41","cracked monitor","מסך שבור",""
"103.0","string_43","data computer","מחשב מידע",""
"103.0","string_44","This is the Data Retrieval console.","זהו מסוף אחזור המידע.",""
"103.0","string_46","control panel","לוח בקרה",""
"103.0","string_47","This is the control panel for the Data Retrieval console.","זה לוח הבקרה של מסוף אחזור המידע.",""
"103.0","string_50","These are some highly decorative illumination devices for the console.","אלו מכשירי תאורה מעוצבים ביותר עבור המסוף.",""
"103.0","string_51","yourself","עצמך",""
"103.0","string_52","It's you and you're darned handsome if you do say so yourself.","זה אתה ואתה חתיך למדי אם יורשה לך להגיד.",""
"103.0","string_55","Buttons reside here. You hate buttons. They confuse you so.","הכפתורים נמצאים כאן. אתה שונא כפתורים. הם מבלבלים אותך כל כך.",""
"103.0","string_58","keypad","לוח מקשים",""
"103.0","string_59","Enter a Code Sequence to retrieve Data cartridges.","הכנס רצף סיסמא על מנת לאחזר את מחסניות המידע.",""
"103.0","string_61","button","כפתור",""
"103.0","string_62","These buttons allow you to enter a code into the computer.","כפתורים אלו מאפשרים לך להזין סיסמא למחשב.",""
"103.0","string_64","Enter","הזן",""
"103.0","string_65","This button confirms entry of the code you keyed-in and begins the search for the corresponding cartridge.","כפתור זה מאשר את הזנת הסיסמא שהקשת ומתחיל את החיפוש אחר המחסנית המתאימה.",""
"103.0","string_67","Off","כיבוי",""
"103.0","string_68","Press this button if you want to turn the keypad off.","לחץ על כפתור זה אם תרצה לכבות את לוח המקשים.",""
"103.0","string_70","A","",""
"103.0","string_72","B","",""
"103.0","string_74","C","",""
"103.0","string_76","D","",""
"103.0","string_78","E","",""
"103.0","string_80","F","",""
"103.0","string_82","G","",""
"103.0","string_84","H","",""
"103.0","string_86","I","",""
"103.0","string_88","J","",""
"11.0","string_0","This is the airlock of the Arcada.","זהו מנעל האוויר של הארקדה.",""
"11.0","string_7","space suit","חליפת חלל",""
"11.0","string_8","A space suit hangs in the closet. It won't be used by anyone else on the ship anymore.","חליפת חלל תלויה בארון. אף אחד אחר בספינה כבר לא ישתמש בה.",""
"11.0","string_11","It's a fish bowl - no, it's a space suit helmet!.","זה אקווריום - לא, זאת קסדת חליפת חלל!",""
"11.0","string_12","elevator light.","אור מעלית.",""
"11.0","string_13","This elevator indicator points up.","הסמן של המעלית מצביע כלפי מעלה.",""
"11.0","string_15","big door.","דלת גדולה.",""
"11.0","string_16","These large red doors serve as the airlock entrance which empties out to the pod bay.","הדלתות האדומות הגדולות הללו משמשות ככניסת מנעל האוויר שמתרוקן למעגן החללית.",""
"11.0","string_19","A small drawer is located just beneath a button.","מגירה קטנה ממוקמת ממש מתחת לכפתור.",""
"11.0","string_20","closet door","דלת ארון",""
"11.0","string_21","The image on the closet door looks familiar, but you can't quite place it.","הדמות על דלת הארון נראית מוכרת, אבל אתה לא ממש מצליח לזהות.",""
"11.0","string_24","Flashing lights adorn this strange yet familiar-looking console.","אורות מהבהבים מקשטים את המסוף המשונה אך מוכר הזה.",""
"11.0","string_26","It doesn't do anything but it sure looks cool.","זה לא עושה דבר אבל זה נראה ממש מגניב.",""
"11.0","string_27","door","דלת",""
"11.0","string_28","This is another elevator door. This one goes up.","זאת עוד דלת מעלית. זאת עולה למעלה.",""
"11.0","string_31","The control panel has many confusing gauges on it. The only one you can read says ""CAUTION: LAUNCH BAY DECOMPRESSED!""","יש על לוח הבקרה הרבה מדידים מבלבלים. על היחיד שאתה יכול לקרוא כתוב ""זהירות: מעגן הנסיקה אינו מצוי בלחץ!""",""
"11.0","string_32","There is a button above the rectangular object below.","יש כפתור מעל החפץ המלבני שמתחת.",""
"11.0","string_35","This button might have some function involving the adjacent doors.","לכפתור הזה עשוי להיות תפקוד הקשור לדלתות הסמוכות.",""
"11.0","string_36","You notice a drawer and a button.","אתה מבחין במגירה וכפתור.",""
"12.0","string_0","This is the cavernous Vehicle Bay. An escape pod rests on launch rails at the end of the platform. Bay doors at the end of the rails allow access to the emptiness beyond.","זהו מעגן הרכבים החלול. חללית מילוט נחה על מסילת שיגור בסוף הרציף. דלתות מעגן בסוף המסילה מאפשרות גישה לריק שמעבר להן.",""
"12.0","string_7","bay doors","דלתות מעגן",""
"12.0","string_8","The massive bay doors are tightly sealed.","דלתות המעגן העצומות אטומות ומהודקות.",""
"12.0","string_9","open wide leaving nothing but millions of kilometers of empty space between you and the very stars themselves","פתוח לגמרי ואינו מותיר דבר מלבד מיליוני קילמוטרים של חללק ריק בינך לבין הכוכבים עצמם",""
"12.0","string_10","tightly sealed","אטומות ומהודקות",""
"12.0","string_12","pod door","דלת חללית",""
"12.0","string_13","This is one of the Arcada's escape pods. You vaguely remember receiving some orientation on these when you joined the crew. Unfortunately, you were deep into research on sleeping with your eyes open and, hence, don't remember much.","זוהי אחת מחלליות המילוט של הארקדה. אתה זוכר במעורפל שקיבלת הדרכה כלשהי לגביהן כשהצטרפת לצוות. למרבה הצער, היית עסוק במחקר על שינה עם עיניים פקוחות, ולכן, לא זוכר הרבה.",""
"12.0","string_17","These powerful Pyron Weezpump drives propel the pod.","מדחפי להבה שואב-חרחור עוצמתיים אלו מניעים את החללית.",""
"12.0","string_18","star","כוכב",""
"12.0","string_19","Even though we all know that the empty atmosphere of space would not permit this twinkling effect, you have to admit it looks nice.","אף על פי שכולנו יודעים שאווירת הריק של החלל לא מאפשרת את תופעת הנצנוץ, אתה חייב להודות שזה נראה נחמד.",""
"12.0","string_22","Through the cabin window you can see an array of displays and controls inside the pod.","דרך חלון התא אתה יכול לראות מערך של תצוגות ובקרות בתוך החללית.",""
"12.0","string_23","bay door","דלת מעגן",""
"12.0","string_24","Beyond the yawning doors lies the serenity of deep space.","מעבר לדלתות העייפות הללו ממתינה השלווה העמוקה של החלל.",""
"12.0","string_26","space","חלל",""
"12.0","string_28","monitor","צג",""
"12.0","string_29","There's that butt-ugly green guy again. Of all the systems destroyed thus far, you wish the teleview would have been one of them.","הנה הבחור הירוק המכוער-תחת הזה. מכל המערכות שהושמדו עד כה, אתה מצטער שהמרקעשקפה לא היה אחד מהם.",""
"12.0","string_31","pod","חללית",""
"12.0","string_32","A giant, silver, pill-shaped pod sits poised to fire, much like a bullet in the chamber of an ancient pistol.","חללית ענקית, כסופה, בצורת גלולה יושבת מוכנה לשיגור, כמו קליע בבית הבליעה של אקדח עתיק.",""
"13.0","string_0","The inside of the Arcada's escape pod is not exactly packed with luxurious appointments. However, when it comes to saving one's posterior, the pod's as good as a Rolls.","פנים חללית המילוט של הארקדה אינו בדיוק עמוס בפעילויות יוקרתיות. עם זאת, כשזה נוגע לשמירה על התחת, החללית טובה כמו רולס-רויס.",""
"13.0","string_9","thruster","מדחף",""
"13.0","string_10","This lever causes forward propulsion of the pod when powered-up.","הידית הזו גורמת לתאוצה קדמית של החללית כאשר היא פועלת.",""
"13.0","string_12","Roger","רוג'ר",""
"13.0","string_13","There doesn't seem to be enough room.","נראה שאין מספיק מקום.",""
"13.0","string_15","seat belt","חגורת בטיחות",""
"13.0","string_16","The seatbelt is dummy-tested, which ought to suit you just fine.","חגורת הבטיחות נבחנה עם בובות התנגשות, אז ראש ריק כמו שלך אמור להיות בסדר גמור.",""
"13.0","string_19","Dials galore populate the instrument console of the pod cabin.","מחוגים לרוב מאכלסים את מסוף המכשור של תא הטייס של החללית.",""
"13.0","string_21","This is the pod's instrument console. Dials, gauges, and a couple of controls fill out the board.","זהו מסוף המכשור של החללית. מחוגים, מדידים, וכמה בקרים ממלאים את הלוח.",""
"13.0","string_23","This is the lucky escapee's seat.","זה הכסא של הנמלט בר-המזל.",""
"13.0","string_24","Window","חלון",""
"13.0","string_27","This is a button pad.","זהו לוח כפתורים.",""
"13.0","string_28","deltaur arms","זרועות דלטור",""
"13.0","string_29","don't need this","לא צריך את זה",""
"13.0","string_31","survival kit","ערכת הישרדות",""
"13.0","string_32","The survival kit contains the basics for deep space survival.","ערכת ההישרדות מכילה את הדברים הבסיסיים הנחוצים להישרדות בחלל עמוק.",""
"13.0","string_35","don't need one.","בליטה",""
"13.0","string_36","explosion","פיצוץ",""
"13.0","string_38","lights","אורות",""
"13.0","string_39","Nice lights, huh?","אורות נחמדים, נכון?",""
"13.0","string_41","radar","מכ""ם",""
"13.0","string_42","This is radar for the Autonav system.","זה מכ""ם למערכת הניווט-האוטומטית.",""
"13.0","string_44","arm","זרוע",""
"13.0","string_45","This is your arm.","זו הזרוע שלך.",""
"13.0","string_47","head","ראש",""
"13.0","string_48","This is your head. This is your head in a fishbowl.","זה הראש שלך. זה הראש שלך באקווריום.",""
"13.0","string_52","star","כוכב",""
"13.0","string_53","Stars glow from afar.","כוכבים זוהרים במרחק.",""
"13.0","string_55","star","כוכב",""
"13.0","string_58","Arcada","ארקדה",""
"13.0","string_59","It's your former ship, the Arcada.","זו הספינה הקודמת שלך, הארקדה.",""
"13.0","string_61","Deltaur","דלטור",""
"13.0","string_62","Deltaur lookStr","",""
"13.0","string_64","deltaur","דלטור",""
"13.0","string_66","escape pod","חללית מילוט",""
"13.0","string_67","This is the escape pod. It is currently occupied by you.","זו חללית המילוט. היא כרגע תפוסה על ידך.",""
"13.0","string_72","Autonav button","כפתור ניווט-אוטומטי",""
"13.0","string_73","This is the Autonav button. When operative it allows the pod to navigate to the closest habitable planet.","זהו כפתור הניווט-האוטומטי. כשהוא פועל הוא מאפשר לחללית לנווט לעבר הכוכב בר-היישוב הקרוב ביותר.",""
"13.0","string_75","button","כפתור",""
"13.0","string_77","power button","כפתור מתח",""
"13.0","string_79","button pad","לוח כפתורים",""
"13.0","string_80","Choose the appropriate button.","בחר בכפתור המתאים.",""
"138.0","string_1","Whoa! Those big guys pack a powerful appetite. Did you feel the way that thing just chomped right through your skeletal system? That had to hurt! The grell burps in solitary satisfaction. He doesn't often get nice, warm meals like you.","וואו! החבר'ה הגדולים האלה פיתחו תיאבון בריא. הרגשת איך הדבר הזה ננעץ הישר בתוך מערכת השלד שלך? זה בטח נורא כאב! הגרל מגהק בשביעות רצון מופגנת. הוא לא מקבל הרבה ארוחות טעימות וחמות כמוך.",""
"14.0","string_12","thruster","מדחף",""
"14.0","string_13","This lever causes forward propulsion of the pod when powered-up and in space.","הידית הזו גורמת לתאוצה קדמית של החללית כאשר היא פועלת.",""
"14.0","string_15","Roger","רוג'ר",""
"14.0","string_16","There doesn't seem to be enough room.","נראה שאין מספיק מקום.",""
"14.0","string_18","seat belt","חגורת בטיחות",""
"14.0","string_19","The seatbelt is dummy-tested, which ought to suit you just fine.","חגורת הבטיחות נבחנה עם בובות התנגשות, אז ראש ריק כמו שלך אמור להיות בסדר גמור.",""
"14.0","string_22","Dials galore populate the instrument console of the pod cabin. Too bad none of them work anymore.","מחוגים לרוב מאכלסים את מסוף המכשור של תא הטייס של החללית.",""
"14.0","string_23","Too bad none of them work anymore.","חבל שאף אחד מהם כבר לא עובד.",""
"14.0","string_24","","",""
"14.0","string_26","","",""
"14.0","string_29","It might have been dampened slightly by that landing.","ייתכן שהוא נהיה לח קלות בשל הנחיתה ההיא.",""
"14.0","string_30","Window","חלון",""
"14.0","string_33","On this button pad are the AUTONAV, POWER, and DON'T TOUCH buttons.","על לוח הכפתורים הזה מצויים ניווט-אוטומטי, מתח וכפתורי *אל תיגע*.",""
"14.0","string_34","Kerona","קרונה",""
"14.0","string_35","should be hands-off","צריך להיות בלי ידיים",""
"14.0","string_37","survival kit","ערכת הישרדות",""
"14.0","string_38","Within the survival kit are the necessities for surviving a brief stay in a less-than-hospitable environment.","בערכת ההישרדות נמצאים הדברים הנחוצים להישרדות בשהייה קצרה בסביבה לא-כה-מזמינה.",""
"14.0","string_40","mountain","הר",""
"14.0","string_41","Mountains generously dappled with spires of unknown formational origin loom at your visual terminus.","הרים המנומרים בנדיבות בצריחים ממקור מבני לא ידוע נגלים לפניך בקצה הראייה שלך.",""
"14.0","string_47","lights","אורות",""
"14.0","string_49","radar","מכ""ם",""
"14.0","string_50","Simple radar.","מכ""ם פשוט.",""
"14.0","string_52","arm","זרוע",""
"14.0","string_53","This is your arm.","זו הזרוע שלך.",""
"14.0","string_55","head","ראש",""
"14.0","string_56","This is your head. This is your head in a fishbowl.","זה הראש שלך. זה הראש שלך באקווריום.",""
"14.0","string_60","star","כוכב",""
"14.0","string_61","star 1","כוכב 1",""
"14.0","string_63","star 2","כוכב 2",""
"14.0","string_65","don't need","לא צריך",""
"14.0","string_68","The spent drives of the pod vent fumes after the long escape from the Arcada.","המדחפים הגמורים של החללית מוציאים אדים אחרי ההימלטות הממושכת מהארקדיה.",""
"14.0","string_70","This is the escape pod's hatch.","זה הצוהר של חללית המילוט.",""
"14.0","string_72","hologram","הולוגרמה",""
"14.0","string_75","escape pod","חללית מילוט",""
"14.0","string_78","Autonav button","כפתור ניווט-אוטומטי",""
"14.0","string_79","This is the Autonav button. When operative it allows the pod to navigate to the closest habitable planet.","זהו כפתור הניווט-האוטומטי. כשהוא פועל הוא מאפשר לחללית לנווט לעבר הכוכב בר-היישוב הקרוב ביותר.",""
"14.0","string_81","button","כפתור",""
"14.0","string_83","power button","כפתור מתח",""
"14.0","string_84","Its service life has expired as a result of the rugged touch-down.","תקופת האחריות שלו פקעה כתוצאה מלחיצות קשוחות.","צ: תיקנתי"
"14.0","string_86","button pad","לוח כפתורים",""
"14.0","string_87","Please press the desired button.","בחר בכפתור המתאים.",""
"18.0","string_0","In the distance stand the skeletal remains of of a massive beast of some type, the likes of which you never saw on Xenon. You hope it's a one of a kind relic.","במרחק ניצבים שרידי השלד של חיה עצומה כלשהי, מסוג שמעולם לא ראית בקסנון. אתה מקווה שזה שריד יחיד מסוגו.",""
"19.0","string_0","You are at the northwest boundary of a massive skeletal structure. Sand stretches out in all other directions.","אתה בקצה הצפון-מערבי של מבנה שלדי עצום. אין דבר מלבד חול בכל שאר הכיוונים.",""
"2.0","string_1","Thank you for playing Space Quest I. As usual, you've been most entertaining.","תודה ששיחקת הרפתקה בחלל 1. כמו תמיד, היית מבדר במיוחד.",""
"2.0","string_2","Restore","שחזר",""
"2.0","string_3","Restart","אתחל",""
"2.0","string_4","Quit","צא",""
"2.0","string_6","Animators:
 
 Douglas Herring
 Vasken Nokhoudian
 Nathan Larsen
 Arturo Sinclair
 Deena Krutak
 Desie Hartman
 Jerry Jessurun
 Russell Truelove
 Diana R. Wilson","אנימטורים:\n\nדאגלס הרינג\nואסקן נוקודיאן\nנתן לארסן\nארטורו סינקלייר\nדינה קרוטק\nדסי הרטמן\nג'רי ג'סורון\nראסל טרולאב\nדיאנה ר. ווליסון\n",""
"2.0","string_7","Background Artists:
 
 Douglas Herring
 Nathan Larsen
 Arturo Sinclair
 Eric Kasner
 Willis Wong
 Jay Allan Friedmann
 Jennifer Shontz
 Andy Hoyos
 Jane Cardinal
 Maurice F. Morgan","אמני רקע:\n\nדאגלס הרינג\nנתן לארסן\nארטורו סינקלייר\nאריק קסנר\nוויליס וונג\nג'יי אלן פרידמן\nג'ניפר שונץ\nאנדי הויוס\nג'יין קרדינל\nמוריס פ. מורגן\n",""
"2.0","string_8","Programmers:
 
 Jerry Shaw
 Randy MacNeill
 Dave Jamriska
 Hugh Diedrichs
 Christopher Carr","מתכנתים:\n\nג'רי שו\nרנדי מק'ניל\nדייב ג'מריסקה\nהיו דידריקס\nכריסטופר קאר\n",""
"2.0","string_9","Music Director:
 
 Mark Seibert","מנהל מוזיקלי:\n\nמארק סיברט\n",""
